content,score,at
aplikasi goblok bisa buka pdahal gua mau bayr kira gua mau byar lagi bangsatt,3,2019-08-09
limit kenapa bekukan padahal sudah bayar tepat waktu,2,2019-08-09
kenapa habis update bisa buka aplikasi ket anda sedang offline mhon bantuannya,5,2019-08-09
tolong jadilah pintar app sampah ini masuk daftar ilegal dari OJK,5,2019-08-09
 bisa buka aplikasi shopintar tolong dong mau byr neh,1,2019-08-09
update kok malah bisa dibuka Sangat tidak profesional,1,2019-08-09
mantab bisa membantu orang pas ngak ada uang,5,2019-08-09
aplikasinya masih gak bisa buka layar putih doangan pas klik aplikasinya,1,2019-08-09
 tdk bisa buka aplikasinya mau bayar angsuran ,4,2019-08-09
alhamdulillah bisa login sekarang mah unistal dulu,5,2019-08-09
lumayan membantu semoga ada bonus bagi rajin kredit dan rajin bayar tepat waktu,4,2019-08-09
knp gak bisa buka aplikasi tolong bntuannya mau membayar tagihan,1,2019-08-09
saya mau bayar cicilan knp aplikasinya buka yah,4,2019-08-09
kenapa tidak bisa masuk bacaan offline mulu,1,2019-08-09
knp jadi mahal bunga apa setelah ambil sma kredit pintar,1,2019-08-09
apaan nggak bisa dibuka sama skali baru juga download ngeblank gitu boro ada gambarnya,1,2019-08-09
aplikasi error saat pembayaran jatuh tempo bagaimana pertanggung jawaban shopintar,5,2019-08-09
sangat membantu terpercya dan melayani konsumen dengan sangat baik,5,2019-08-09
luar biasa membantu segala aktivitas menjadi lebih mudah,5,2019-08-09
gimana saya mau bayar angsuran apk gak bisa buka giliran telat konsumen yang salahin,5,2019-08-09
belanja sangat mudah cicilan pun tidak terlalu mahal serta produk banyak yang baru,5,2019-08-09
kenapa akun tidak bisa buka min tolong nanti saya mau melakukan pembayaran susah,2,2019-08-09
masih terlalu besar tuk penghitungan total bayarnya,3,2019-08-09
Mau masuk kok gabisa Habis tulisan shopintar labgsung layar jadi putih gak masuk aplikasi,2,2019-08-09
thx shopintar moga dpt lbh gde cpt bgt proses iseng berhadiah,5,2019-08-09
 aplikasi gabisa buka orang mau bayar ntar gua bayar ,1,2019-08-09
atas kepercayaannya semoga lebih baik lagi kadang suka lemot susah untuk buka amplikasi,5,2019-08-09
bagus sch hari ini saya kecewa mau bayar aplikasi edk bisa buka,5,2019-08-09
maaf mau tanya knapa aplukasi bisa buka mohon bantuan nya,5,2019-08-09
mau tanya min ngomong shopintar udah terdaftar ojk apa belum ,5,2019-08-09
Aplikasi simpel dan sangat membantu pokoknya mantuull,5,2019-08-09
kenapa aplikasinya tidak dapat dibuka apa lagi maintenance dan kenapa akun saya dibekukan,5,2019-08-09
kenapa dari kemaren sampe sekarang mau login gak bisa tolong diperbaikin biar semua gak kecewa,2,2019-08-09
proses mudah cepat dan sangat membantu sekali,5,2019-08-09
bagus msih sering error tidak bisa buka applikasi,4,2019-08-09
Shopintar Good Chat Langsung Tanggapi Sukses Terus Buat Shopintar,5,2019-08-09
 aplikasi sama sekali bisa dibuka sudah email juga tetap tidak bsa tlp tidak terdaftar,1,2019-08-09
ini aplikasi knp kok kgak bisa kebuka terus gmna ini solusinya,3,2019-08-09
ini aplikasi tdk buka mkhon bantuan dunk min trimakasih,2,2019-08-09
mudah limit cepat naik tapi bunga diperkecil lagi biar tambah happy,4,2019-08-09
saya mau bayar tapi aplikasinya tidak bisa buka ngeblank putih,1,2019-08-09
shopintar ini gmn suruh diperbarui apl shopintar malah bisa dibuka gmn cara bayar ntar,4,2019-08-09
sangat membantu bngt buat saya makasih apl shopintar sllu jos,5,2019-08-09
ini knp aplikasinya tdk bsa dibuka padahal sya mau melakukan pembayaran,1,2019-08-09
setelah update saya tidak bisa mengakses shopintar mohon bantuannya,5,2019-08-09
kenapa kok eror shop pintarny padahal saya mau bayar tagihan,4,2019-08-09
 bisa buka shope pintar saya pak buk,4,2019-08-09
kok bisa masukin tlp kantor untuk hanya bisa ,2,2019-08-09
tolong dikasih penjelasan kenapa tidak bisa dibuka,5,2019-08-09
makasih shopinthar selama ini sangat membantu saya,5,2019-08-09
ada apa dengan shopintar gak bisa buka sudah seminggu ini,2,2019-08-09
kak saya mau bayar tagihan aplikasi ngga bisa kebuka susah harus bagaimana mohon solusinya,5,2019-08-09
kenapa saya gbsa buka aplikasinya keterangannya anda sedang offline pdhal wifi kenceng bgt,3,2019-08-09
kenapa gak bisa buka aplikasi tolong bntu kak,5,2019-08-09
abis update bisa buka apknya tolong segera perbaiki,3,2019-08-09
knpa kok hbis perbarui kok malah bisa buka,4,2019-08-09
min aku mau bayar tapi pas buka aplikasi kenapa gabisa gamasuk masuk kenapa ,3,2019-08-09
kenapa aplikasi ngga bisa dibuka padahal cicilan saya sebentar lagi jatuh tempo,3,2019-08-09
Saya suka pelayanan dari shopintar tidak ada rasa kecewa sama sekali trima kasih,5,2019-08-09
bisa kali tambahin biar bisa chat sama penjual,5,2019-08-09
Alhamdulillah cepat proses cairnya shopintar good luck,5,2019-08-09
sekali pengajuan lgsg acc sip deh buat Shopintar,5,2019-08-09
kenapa aplikasinya gabisa dibuka cepat diperbaiki dong padahal koneksi bagus,4,2019-08-09
kenapa saya buka padahal sebelumnya baik saja,3,2019-08-09
aplikasi shopintar tidak seperti dulu saya kecewa,3,2019-08-09
mengapa blank gak bisa dibuka mau melunasi tagihan gak bisa,5,2019-08-09
 jga aplikasih menolong bngt walaupun agak lelot,5,2019-08-09
knpa bisa buka shopintar sudah berkali kali ttf aja ngeblank,5,2019-08-09
kenapa saya sulit sekali masuk aplikasi baru update juga susah masuknya butuh bantuan,1,2019-08-09
aplikasi butut yang butut malah orang yang bilang offline gembell,1,2019-08-09
mantap saya aplikasi lain gak bisa shopintar saya selalu bisa pinjem,5,2019-08-09
ini gmna mau bauar aplikasi aja bsa buka,1,2019-08-09
gara dftr ini banyak sms spam bikin kesel,1,2019-08-09
respon pesana bagus tapibelakangan susah banget kebukanya,4,2019-08-09
terbukti yang tercepat bunga turunin dikit min,5,2019-08-09
 apk kaga bisa buka saya mau bayar jadi kaga kebuka manaan udah jatuh tempo,5,2019-08-09
sangat membNtu limit naik trus mkasih shopintar,5,2019-08-09
aqun hilang pas instal nggak bisa knp yah,3,2019-08-09
sya kasih bintang soalnya barang saya belom smpe udh hari,2,2019-08-09
sangat membantu masalah uangan terima kasih Shopintar semakin sukses,5,2019-08-09
mantap terbaik naikin lagi dong min limitnya,5,2019-08-09
Kgk Bisa dibuka aplikasinya juga Kgk bisa melakukan pinjaman kembali parah nih aplikasinya,1,2019-08-09
kenapa aplikasi shopintar saya gak bisa kebuka ngebleng aja dan bagai mna cara mengatasinya,2,2019-08-09
gimna mau bayar tagihan ini aplikasi offline padahal jaringan cepat buka aplikasi juga cepet,1,2019-08-09
Loading lama untuk masuk aplikasi Shopintar sekarang buruk beda sama shopintar yang dulu,1,2019-08-09
Terima kasih Shopintar cepat sekali dalam pelayanan atasi keluhan customer good apk,5,2019-08-09
terima kasih shopintar aplikasi sangat membantu pangajuan cepat pake ribet,5,2019-08-09
good like shopintar gak kecewa deh udah pasti sangat membantu shopintar,5,2019-08-09
sudah uninstall tapi tetap gak bisa buka,5,2019-08-09
ini aplikasi bisa buka gimanaya dah mau pemayaran,5,2019-08-09
kecewa berat udah ngajuin saldo limit malah gagal trus mohon bantuannya,1,2019-08-09
gman nih sya mau bayar cicilan malah gak bisa buka aplikasinya hadeh,1,2019-08-09
trimakasih shopintar sangat membantu dan bunga cukup rendah dengan tenor lama dibandingkan dengan pinjol lainnya,5,2019-08-09
 aplikasi bisa buka padahal mau bayar cicilan tolong perbaiki,3,2019-08-09
saya gak bsa buka shopintar gak muncul udah jam,1,2019-08-09
gak bisa buka gimana mau bayar cicilan,1,2019-08-09
saya mau bayar nih malah erro aplikasi nya,2,2019-08-09
kenapa aplikasi shopintar tidak bisa buka mohon infonya,5,2019-08-09
ini saya mau bayar aplikasinya susah buka gmn,1,2019-08-09
saya mau bayar tagihan ofline trus yah trs gmn yah,5,2019-08-09
awalnya bagus aplikasinya tidak bisa buka kecewa makanya bintangnya saya kurangin,1,2019-08-09
haloo sampe kapan nih shopintar troble pdhl guwe mau bayar pelunasan nehh,2,2019-08-09
mau bayar gak bisa akses aplikasinya per tanggal tolong bantu karna mau jatuh tempo Terima,4,2019-08-09
kenapa sekarang ini shopintar saya tidak bisa dibuka maff,5,2019-08-09
saya tidak bisa membuka aplikasinya padahal mau melakukan pembayaran kedua gimana caranya karna mau bayar,5,2019-08-09
kenapa bisa terbuka aplikasi setelah update gimana cara bayar angsurannya kasih solusi dong,1,2019-08-09
 bisa kebuka ofline mulu dcoba aplikasi lain bisa kebuka,1,2019-08-09
saya gak buka aplikasinya padahal saya mau bayar bagaimana ini,3,2019-08-09
ini kenapa yah pas buka appnya cuma white screen doang,2,2019-08-09
kapan nih normal kembali tetep bisa buka aplikasinya jangan salah kan saya kalo pembayarannya telat,5,2019-08-09
untuk shopintar setelah updete malah susah login lagi mana ini,1,2019-08-09
Awesome dan sangat membantu semoga kerjasama kita semakin baik,5,2019-08-09
Ini saya aplikasinya bisa buka kenapa Padahal mau bayar barang,5,2019-08-09
bagus sangat membantu tapi kalau pembaruannya lama ,5,2019-08-09
udah mau bayar tpi aplikasi bisa dibuka,2,2019-08-09
 aplikasinya blank gak bsa buka pas klik putih smua layar ada apa sho,2,2019-08-09
kok setelah update malah nggak bisa log ,5,2019-08-09
makasih atas kepercayaan mantul sukses selalu shopintar,5,2019-08-09
aplikasi yang sangat membantu mudahan saya bisa mengajukan lagi,5,2019-08-09
Tolong aplikasi tidak dapat dibuka saya ingin melakukan pembayaran,1,2019-08-09
kenapa Sekarang aplikasi susah Buka saya masih punya Cicilan gimana Ini Mau bayar,2,2019-08-09
aplikasi tidak bisa buka padahal saya sudah login dan melakukan pembelian,2,2019-08-09
Pagi Gan kenapa shopintar saya susah dibuka padahal saya mau bayar,5,2019-08-08
sampe kapan aplikasi ini bisa dibuka waktunya bayar tapi masih juga belum bisa dibuka aplikasi,1,2019-08-08
wah ada apa dengan shopintar mau login sudah bisa mohon bantuanya ,5,2019-08-08
aplikasi cacat gak bisa kebuka buka pdahal sinyal bagus tapi dibilang offline mulu,1,2019-08-08
mengapa tidak bisa buka saya sdh kali pinjam dengan aplikasi ini sangat membantu,5,2019-08-08
tidak bisa log ini keteranganya signal padahal jaringannya bagus apa perbaikan,2,2019-08-08
proses pengajuan pinjaman sangat cepat kalo bisa sih bunga jangan terlalu besar terima kasih,5,2019-08-08
ini kok saya mau bayar kenapa offline aplikasinya tulisan anda sedang offline apa kah bantu,5,2019-08-08
suka nggak bisa buka buka layar putih doang,1,2019-08-08
anda sedang ofline trus gimana sih maksudnya,2,2019-08-08
apk gua mau bayar tagihan malah gabisa dibuka apk nya,1,2019-08-08
memuaskan server sering eror klo mau buka aplikasi,4,2019-08-08
aplikasi tidak bisa buka keterangan maaf sepertinya anda ofline itu kenapa iya,4,2019-08-08
sering ngeblank cuma warna putih bagaimana buka aplikasinya,1,2019-08-08
mau masuk shopeintar sekarang susah yaa malah keluar muli,3,2019-08-08
kenapa aplikasinya gak bisa dibuka sedang offline mulu padahal saya online,1,2019-08-08
Sangat Membantu sekali dengan adanya Aplikasi Shopintar,5,2019-08-08
knpa dari tadi siang aplikasi ini tidak bisa buka,5,2019-08-08
kenapa aplikasi tdk bisa dbuka saya mau bayar tdk bisa terlambat dong rugi saya,1,2019-08-08
tolong perbaiki segera saya tdk bisa masuk apk sudah unisntal lalu instal tetap sama saja,1,2019-08-08
masa gak bisa buka aplikasi cuman blank page mau bangkrut yah,1,2019-08-08
kok bacaan offline mau bayar padahal loh hadehh,1,2019-08-08
 buka pdahal jringan bgus spek bkn kaleng,1,2019-08-08
hari ini kok gak bisa buka bos,2,2019-08-08
aplikasi kok gak bisa masuk ada apa dengan servernya kok jadi lambat gini,1,2019-08-08
Good sangat membantu dan cepat prosesnya Memuaskan,5,2019-08-08
Admin tolong saya mau bayar ansuran tapi aplikasinya tidak bisa buka,4,2019-08-08
jgn sms dah klo pendaftaran gue ditolak trus nyampah doank sms aplikasih gajelas,1,2019-08-08
saya mau melunasi selalu terputus koneksinya mohon penjelasannya,5,2019-08-08
ini apk hapus aja playstore apk ini bikin nyusahin orang,1,2019-08-08
gak bisa gunain gak bisa login jaringan lancar bilang ofline,1,2019-08-08
tai susah aplikasinya buat masuk padahal kredit sudah acc jangan cuma mau maling data,1,2019-08-08
kenapa aplikasi shopintar saya tidak bisa dibuka saya ingin liat cicilan saya,3,2019-08-08
kenapa aplikasinya bisa buka muncul keterangan anda sedang offline padahal internet lancar,4,2019-08-08
kok Aplikasinya nggak bisa buka padahal ata Semua telah masukkan kok tiba Offline heran aku,1,2019-08-08
Limit udah acc tapi gabisa bisa masuk akun buka aja gabisa APP gimana ,2,2019-08-08
baik dan cepat kok aplikasinya bisa buka,5,2019-08-08
ini knpa apk bisa buka mau bayar ini jngn bkin susah dong,2,2019-08-08
Aplikasi Saya gak bisa buka saya mau bayar cicilan,5,2019-08-08
Gak bisa buka aplikasinya sudah ganti pun tetep tidak bisa dibuka payah,3,2019-08-08
kenapa aplikasi shopintar tidak bisa dibuka yaa,2,2019-08-08
Thank Shopintar gak sangka dafta langsung teraktivasi hitungan detik keren dpt limit ,5,2019-08-08
kenapa shopintar bisa buka selalu tulisan sepertinya kamu sedang offline,5,2019-08-08
Ini kenapa kok aplikasi jadi gak bisa buka padahal saya mau bayar cicilan,2,2019-08-08
knp aplikasinya tdk bisa buka pdahal saya udh updet versinya,4,2019-08-08
 mau membayar tapi knp gak bisa msuk aplikasix ,2,2019-08-08
sya mau byar knpa sya tdk buka aplikasinya,1,2019-08-08
kenapa saya tidak masuk aplikasi padahal sinyal penuh,1,2019-08-08
kenapa shopintar saya tidak bisa buka tolong diperbaiki lagi trimakasi,5,2019-08-08
kak bayar tagihan akun shopintar tulisan offline pdhal beli paketan isa kebuka,3,2019-08-08
 bisa log yah terus mau bayar gmn bisa log ,2,2019-08-08
kenapa saya sekarang bisa login gmn saya mau melunasi cicilan,1,2019-08-08
Kenapa aplikasi bisa buka Bilangnya maaf anda sedang offline padahal aplikasi lain bisa aja,1,2019-08-08
haduh sekarang pake WIFI pun bisa kebuka notif jaringan offline kacau bos,4,2019-08-08
knpa aplikasinya jadi susah untuk dibuka mau bayar jadi gabisa,4,2019-08-08
Ini gimana mau bayar tagihan tapi dari kemarin APL bisa buka,3,2019-08-08
aplikasinya bisa dibuka offline terus kenapa min,3,2019-08-08
kenapa aplikasinya gak bisa dibuka terus yah saya mau bayar susah trus,1,2019-08-08
min kenapa ini engga bisa buka sama sekali erorr apa gimana sih min,3,2019-08-08
mohon maaf min kenapa shopintar bisa buka hari ini,5,2019-08-08
bolak balik install aplikasi nomer sudah pernah terdaftar gak bisa masuk lagi maksutnya apa hadeechh,1,2019-08-08
kenapa bisa log saya harus bayar kemana,5,2019-08-08
maaf shopintar kenapa tidak bisa terbuka aplikasinya padahal mau bayar cicilannya,5,2019-08-08
hari ini saya tidak bisa masuk acount shopintar apakah sedang ganguan,3,2019-08-08
ini saya mau bayar disconect terus yah apa ada gangguan,1,2019-08-08
 nyesl download sopintr aplikasi bnr mantab mksh sopintr sdh membantu perekonomian sya,5,2019-08-08
aplikasi goblok aplikasi gabisa dibuka tai buang kuota aja,1,2019-08-08
ini kenapa aplikasi saya gak bisa buka,5,2019-08-08
tolong aku saya tidak bisa dibuka pada hari ini padahal saya mau membayar tagihan,1,2019-08-08
aplikasi saya eror mau bayar tagihan harus gmnh ini harua hubungi mana,3,2019-08-08
kok tidak bsa buka aplikasinya bayarnya gimana ini,5,2019-08-08
halo apakah ada perbaiakan sistem saya masuk apk shopintar susah bgt tolong respon,5,2019-08-08
saya gak bisa buka shopintar padahal sudah saya update gimana solusinya,1,2019-08-08
ini kenapa aplikasi gak bisa buka padhal mau bayar udh jatuh tempo,1,2019-08-08
kenapa tidak bisa buka shopintar klo ada penagihan bagaimana,3,2019-08-08
ada apa ini saya bisa masuk akun saya padahal hari ini saya jatuh tempo,1,2019-08-08
kok aplikasinya ngk bisa kebukanya offline mulu mau melakukan pembayaran ngk bisa,5,2019-08-08
gimana waktu masuk jatuh tempo aplikasi bisa dibuka knpa woy,1,2019-08-08
ampun knp ini shopintar bisa buka tlvn oprator juga nyambung ada apa nich dengan shopintar,5,2019-08-08
saya bisa login hari ini saya mau bayar tolong,5,2019-08-08
belum ngerti gmna cara belanja kita sukai sini,2,2019-08-08
maaf ini aplikasinya kenapa setiap mau buka offline terus padahal internet saya bagus mohon respon,4,2019-08-08
ini knp aplikasi bisa dibuka lyr bleng putih,2,2019-08-08
aplikasi kok sedang offline padahal data 5gb ,1,2019-08-08
kak maaf saya mau buka app dibilang offline trs knp,5,2019-08-08
mau bayar cicilan bisa buka app udah email ada respon gimanasih,4,2019-08-08
aplikasi soak abiz downoad buka kagak bisa dasar kontoL namanya aja shopintar tapi sok pintar,1,2019-08-08
Kok hari ini saya tidak bisa membuka aplikasi ini mohon penjelasannya terimakasih,2,2019-08-08
setelah upgred bukanya ngk bisa mohon bantuannya,5,2019-08-08
Sering bgt telp sangat mengganggu padahal blm telat tgl pembayaran,1,2019-08-08
kenapa log out terus min sma skrg gabisa buka apk nya,4,2019-08-08
Kenapa shopintar saya nggak bisa dibuka padahal saya kan mau bayar tagihan,5,2019-08-08
kok ngak bisa buka aplikasinya terkadang maaf sedang ofllene,5,2019-08-08
Aplikasinya bisa dibuka offline terus Ntar kalo dibayar ngamuk Giliran mau bayar aplikasi bisa dibuka,1,2019-08-08
ada yang ngalamin gagal akses masuk gak,5,2019-08-08
Sangat Membantu Tapi Limit gak naik padahal pembayaran lancar kalau dah naim full kan bintangnya,4,2019-08-08
cara penagihannya amat sangat tidak sopan padahal blm telat jatuh tempo,1,2019-08-08
koq layar putih doank yha perbaiki donk,3,2019-08-08
ini aplikasi mau masuk susah bilngnya ofline trs hdew,1,2019-08-08
tolong kenapa aplikasi ini tidak bisa dibuka mohon solusinya,1,2019-08-08
kenapa mau buka aplikasi kok susah mau byr mau minta kode susah masuk aplikasi nya,1,2019-08-08
 susah banget bukanya statusnya anda masih offline aja knpa sih,3,2019-08-08
admin aplikasi sekarang susah buka bagaimana saya mau bayar nya,5,2019-08-08
ini knp aplikasi bisa buka pdahal mau bayar cicilan saya,3,2019-08-08
kok ngk buka aplikasi shopintar hri ini padahal jringan bagus,4,2019-08-08
gak tau nih offline terus nih apps,5,2019-08-08
aplikasi dibuka kok bisa padahal pakai wifi bantuin dong,2,2019-08-08
Ini kenapa aplikasi gak bisa buka keterangannya offline mulu mau bayar cicilan jadi gak bisa,1,2019-08-08
sya mau nanya apa tagihan sya gabungin sma kredit pintar,5,2019-08-08
Shopintar kenapa aplikasinya tidk bisa buka ttup kah,2,2019-08-08
gimana nih saya besok jatuh tempo aplikasi bisa dibuka gimana nih penjelasannya,1,2019-08-08
kenapa aplikasi bisa buka tolong kirim acoon bca saya,4,2019-08-08
bagaimana mau bayar cicilan aplikasi saja tidak bisa saya buka,1,2019-08-08
sekarang sering untuk masuk aplikasinya stak layar putih saja,5,2019-08-08
kok shoppintar saya buka keterangannya maaf anda sedang ofline maksudnya gmn mohon penjelasannya,4,2019-08-08
kok aplikasi pkai jaringan WiFi bisa dibuka,5,2019-08-08
aplikasi sudah hari tidak bisa terbuka bagaimana,2,2019-08-08
mesen barang sampe seminggu kok dateng terus aplikasi gabisa dibuka lagi heran sama aplikasi,1,2019-08-08
ini gmna nih mau bayar malah lgi eror,3,2019-08-08
gimana mau bayar kalau aplikasinya bisa buka,1,2019-08-08
proses kredit cepat barang lsg diantar mantuul,5,2019-08-08
kenapa aplikasinya tidak bisa buka terus bagaimana saya bisa membayar,2,2019-08-08
Setelah update malah susah login aplikasinya loading terus,3,2019-08-08
ini kenapa kok aplikasi gabisa dibuka gangguan bukan,2,2019-08-08
kenapa aplikasi sekarang gak bisa buka mau bayar tagihan gak bisa,3,2019-08-08
tolong bantuannya kenapa aplikasi saya kalo dibuka hanya muncul layar putih,3,2019-08-08
knpa aplikasi bisa buka padahal storan tepat waktu,2,2019-08-08
lagi sistemnya eror bisa buka aplikasinya padahal buat browsing yang lain lancar saja,2,2019-08-08
ini knp sya msuk ofline trz padahal sunyal sya bgus,3,2019-08-08
 aplikasi yah bisa kebuka yahh payah nih,1,2019-08-08
Shopintar bisa buka udah blokir sma kominfo,5,2019-08-08
kenapa padahal baru downlod ktp udh terdaftar mohon bantuan nya,1,2019-08-08
 bisa buka ada gangguan apa kacau bener,2,2019-08-08
 saya buka applikasi ini bisa ngeblank putih gitu aja tolong dong shopintar bisain buka,3,2019-08-08
 pernah acc padahal data lengkap dan pinjaman sampe ,1,2019-08-08
halo knapa udah bikin tapi pas mau masuk mungkin anda sedang offline padahal sya online,2,2019-08-08
saya mau bayar cicilan saya kok aplikasi saya tidak bisa buka ,5,2019-08-08
knpa gbsa buka aplikasinya saya mau bayar tagihan nih woyy,1,2019-08-08
aplikasi sudah update tapi kenapa tidak bisa dibuka mohon diperbaiki segara,3,2019-08-08
aplikasi saya kok bisa buka ada keterangan anda sedang offline,3,2019-08-08
Maaf sepertinya anda offline ada apa dengan shopintar,5,2019-08-08
kenapa aplikasinya tidak bisa dibuka hanya muncul layar putih saja terus menerus,1,2019-08-08
mau min kok app shopintar gak bisa dibuka aku mau bayr ,3,2019-08-08
 tlp trus berkali kali gmana saya mau bayar klo app bisa dibuka tolong penjelasannya,5,2019-08-08
gimana nih aplikasinya gak busa buka lagi apa tutup,4,2019-08-08
kenapa bisa buka shopintar anda sedang offline terus,3,2019-08-08
saya mau buka shoppintar saya kenapa gak bisa yaa tolong dong informasinya,2,2019-08-08
Kabarnya Shopintar salah satu yang sudah tutup oleh OJK ,2,2019-08-08
setelah daftar masuk kan data ktp sim apl tidak bisa buka parah,1,2019-08-08
apakah shopintar ada kendala kok saya buka bisa yaa,3,2019-08-08
knp yaa aplikasi shopintar smlm tidak bisa dibuka tolong penjelasan ,2,2019-08-08
knp aplikasi dibuka cuma halaman putih doank,4,2019-08-08
hari ini kenapa Aplikasi gak bisa dibuka,1,2019-08-08
mau bayar cicilan aja susah untuk masuknya tolong bantuanya agar saya tidak terkena denda,3,2019-08-08
Aplikasinya tidak bisa buka padahal saya mau bayar,1,2019-08-08
kok saya gak bisa buka aplikasi bagaimana saya mau bayar ini kacau,2,2019-08-08
aplikadi shopintar saya tidak bisa buka malah nge blank putih knp yah,5,2019-08-08
 ngga bisa buka Sepertinya anda sedang offline begittu terus padahal mau bayar cicilan,2,2019-08-08
kenapa gak bisa buka anda sedang offline terus,3,2019-08-08
kok saya beli mesin cuci dengan cicilan malah invoice doank dtg sih,5,2019-08-08
awalny membantu tapi kok mulai kmaren aplikasiny sulit dbuka ,4,2019-08-08
gembel niih gak bisa buka aplikasunya ada apa nih udah hari blank terus,1,2019-08-08
mau bayar aplikasi bisa buka giliran jatuh tempo denda,1,2019-08-08
gue mau bayar utang kenapa ofline trus,2,2019-08-08
aplikasi bisa buka padahal mau bayar tagihan bulanan gimana ini bisa keburu tgl jatuh tempo,1,2019-08-08
saya sngat senang ada shopintar bsa pnya brng cicil dan mudah,5,2019-08-08
pinjamn pertama lancar trus pas mau bayar akun jls verifikasi trus gmna mau bayar coba,5,2019-08-08
kenapa aplikasi saya bisa buka saya tidak ada masalah sama pembayaran,5,2019-08-08
Aplikasi sering error tidak dapat dibuka Cara penagihannya pun tidak sopan,1,2019-08-08
Internet saya lancar padahal tapi kok tulisan anda sedang offline Tolong bantuannya,1,2019-08-08
aplikasinya lagi eror kok nggk bise buka,3,2019-08-08
knp kok apk shopintar saya tidak bisa buka ,3,2019-08-08
kok saya gak bisa masuk aplikasi shopintar sih padahal pengen bayar angsuran,3,2019-08-08
aplikasinya error gak bisa dibuka mau bayar gmana,2,2019-08-08
kok apk bisa dibuka mohon bantuannya trimakasih,1,2019-08-08
gimna nih mau byar tgihan kmaren kok bisa buka apk gmna klo telat nih,3,2019-08-08
Aplikasi tidak bisa buka sekarang tgl aug Layar blank putih,1,2019-08-08
kenapa kok tidak bisa dibuka aplikasi saya,5,2019-08-08
apakah shopintar ada ganguan kok kaga bisa buka aplikasiny,5,2019-08-08
saya mau bayar tapi gak bisa dibuka yah aplikasi disitu tertulis maaf anda sedang offline,5,2019-08-08
mohon maaf kenpa aplikasi saya tidak bisa dibuka saya ingin melakukan pembayaran,3,2019-08-08
Maaf mau tanya kenapa aplikasinya kok bisa buka padahal saya mau bayar mohon penjelasannya,5,2019-08-08
 gabisa dibuka aplikasinya padahal mau bayar tagihan,5,2019-08-08
coba dulu bru kasih bintang SETJi pinjaman saya Bismillah butuh modal usaha,4,2019-08-08
kenapa shopintar saya sudah hari tidak bisa dibuka dan sudah melakukan email tapi gada tanggapan,1,2019-08-08
 shopintar kbuka trus iyaa lama bgt loading nyaa,5,2019-08-08
knapa aplikasi shoppintar bsa kebuka soalnya saya mau liat pengiriman barang,1,2019-08-08
kenapa pas buka sllu offline padahal saya masih punya cicilan,1,2019-08-08
apakah saat ini sedang mengalami maintenance per tgl ,5,2019-08-08
 susah masuknya mohon segera perbaiki karena saya punya angsuran harus bayarkan,5,2019-08-08
aplkasi bekukan padahal baru sehari telat sudah melakukan pelunasan kecewa bgd shopintar,1,2019-08-08
semoga bisa credit sini ribet selalu dukung,5,2019-08-08
aplikasi tidak bisa buka ini penipuan atau gimana,1,2019-08-08
 susah masuk suka ada tulisan maaf sepertinya anda sedang offline,5,2019-08-08
 saya bisa masuk sii gimana mau bayar utangnya,4,2019-08-08
maaf apa smuanya sopintar blang smua pas mau buka,2,2019-08-08
gmana ini aplikasinya gak bisa bukaa mohon bantuanyaa,1,2019-08-08
knp shopintar sekarang bisa buka cuma keluar tulisan mungkin anda sedang offline,5,2019-08-08
ini saya mau bayar tapi aplikasi eror lalu bagaimana yaa ini,3,2019-08-08
langsung disetujui aplikasi tolong perbaiki sinyal dan kuota internet ada tapi gak bisa masuk shopintar,5,2019-08-07
kenapa aplikasi gabisa dibuka padahal jaringan saya oke,1,2019-08-07
lagi eror saya buka dibilang jaringan offline padahal ada jaringan nya,4,2019-08-07
keren juga bisa membantu disaat kesulitan dan bisa cicil pula,4,2019-08-07
abis diupdate kok malah susah dibuka sih apk saya mau bayar cicilan,1,2019-08-07
bagus dalam pelayanan dan memuaskan dan terbaik dlm pelayanan,5,2019-08-07
knpa setelah diperbarui malah bisa kebuka gimana nnti mau bayar kalau aplikasi kebuka begini,5,2019-08-07
apl apaan ngejerumusin org jgn download apl ini kawan ngambil data pwnggunanya lagipula bukanya susah,1,2019-08-07
ini kenapa shopintar gak bisa dibuka iya ini saya mau bayar cicilan,3,2019-08-07
 bisa kebuka apps awal bisa kok Katanya Gagal koneksi teruss,1,2019-08-07
Gmn nih bayar kmrin sllu buka aplikasi saat ini anda sdg ofline Mhon bntuany,1,2019-08-07
 saya habis restar ulang knp pas download shopintar tdk bisa buka padahal saya punya tagihan,2,2019-08-07
aplikasi mutu paket data masih mau login susah saya kasih bintang memang ini kendalanya,1,2019-08-07
maafya turun bintang bunga terlalu besar ngambil pulsa bayar ampe kapok dan males gua jadinya,1,2019-08-07
ini gimana mau masuk akun malah maaf sepertinya anda offline,1,2019-08-07
ini gimana sih bisa buka shopintar mau bayar,1,2019-08-07
trma kasih shopintar kalo bisa cicilan murmer ajah mantap,5,2019-08-07
bos tidak dapat membuka aplikasi gimana ini,4,2019-08-07
kenapa saya tidak bisa buka aplikasi ini,1,2019-08-07
Saya sangat senang dengan layanam Shopintar semua jadi mudah dan gampang mencari keperluan kita butuhkan,4,2019-08-07
ini gimana yah kok jadinya gak bisa buka sih padahal sllu update terus payah,1,2019-08-07
kenapa gak bisa login padahal mau bayar nih,1,2019-08-07
